1,1.7734375
2,1.4765625
3,1.4453125
4,1.6640625
5,1.375
6,1.6875
7,1.75
8,1.59375
9,1.734375
10,1.546875
11,2.59375
12,1.3671875
13,1.59375
14,1.6328125
15,1.4140625
16,1.6875
17,1.359375
18,1.609375
19,1.4921875
20,1.5078125
21,1.6640625
22,2.734375
23,1.3671875
24,1.78125
25,1.515625
26,1.5234375
27,2.15625
28,1.453125
29,1.515625
30,1.71875
31,1.546875
32,1.4765625
33,1.78125
34,1.453125
35,1.6640625
36,1.4140625
37,1.4921875
38,1.4765625
39,1.4296875
40,1.5859375
41,1.53125
42,1.703125
43,1.6328125
44,1.75
45,1.7265625
46,1.46875
47,1.4296875
48,1.546875
49,1.5234375
50,1.4609375
51,1.375
52,1.7109375
53,1.4375
54,1.3515625
55,2.0859375
56,1.453125
57,1.4765625
58,1.6953125
59,1.4609375
60,1.6171875
61,1.6328125
62,1.5234375
63,1.5859375
64,1.4609375
65,1.453125
66,1.8203125
67,1.46875
68,1.4140625
69,1.59375
70,1.546875
71,1.3515625
72,1.4609375
73,1.546875
74,1.4921875
75,1.640625
76,1.71875
77,1.5234375
78,1.6015625
79,1.3515625
80,1.4140625
81,1.625
82,1.4765625
83,1.4375
84,1.4375
85,1.5703125
86,1.734375
87,2.6796875
88,1.5078125
89,1.515625
90,1.671875
91,1.4609375
92,1.375
93,1.46875
94,1.6796875
95,1.8046875
96,1.390625
97,1.4296875
98,1.640625
99,1.8046875
100,1.78125
101,1.703125
102,1.4296875
103,1.6875
104,1.3203125
105,1.375
106,1.5390625
107,1.4453125
108,1.546875
109,1.59375
110,1.8203125
111,1.625
112,1.390625
113,1.734375
114,1.5
115,2.0625
116,1.6015625
117,1.6328125
118,1.7109375
119,1.46875
120,1.4453125
121,1.75
122,1.4140625
123,1.75
124,1.3828125
125,1.3671875
126,1.3203125
127,1.78125
128,1.46875
